,Q1,Q2,Q3,Q4,Q5,Q6
55,30-34,Man,Spain,Master’s degree,Currently not employed,1-3 years
56,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years
57,30-34,Woman,Indonesia,Master’s degree,Student,1-3 years
58,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years
59,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years
60,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years
61,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years
62,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years
63,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years
64,18-21,Man,India,Bachelor’s degree,Student,< 1 years
65,18-21,Man,India,Bachelor’s degree,Student,1-3 years
66,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years
67,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 years
68,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years
69,35-39,Man,India,Bachelor’s degree,Other,< 1 years
70,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,20+ years
71,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years
72,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other,3-5 years
73,30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 years
74,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years
75,22-24,Man,Brazil,Master’s degree,Student,5-10 years
76,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years
77,50-54,Man,United States of America,Master’s degree,Data Engineer,20+ years
78,22-24,Man,China,Master’s degree,Business Analyst,< 1 years
79,25-29,Man,Switzerland,Doctoral degree,Student,5-10 years
80,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years
81,35-39,Man,United States of America,Professional doctorate,Research Scientist,10-20 years
82,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years
83,30-34,Man,India,Master’s degree,Business Analyst,1-3 years
84,18-21,Man,India,Master’s degree,Student,1-3 years
85,25-29,Man,Algeria,Professional doctorate,Student,I have never written code
86,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years
87,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years
88,25-29,Man,United States of America,Master’s degree,Data Scientist,1-3 years
89,25-29,Woman,Italy,Bachelor’s degree,Student,1-3 years
90,55-59,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years
91,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years
92,30-34,Man,United States of America,Master’s degree,Business Analyst,1-3 years
93,22-24,Man,Sweden,Master’s degree,Student,5-10 years
94,55-59,Man,United States of America,Bachelor’s degree,Other,1-3 years
95,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years
96,30-34,Man,Colombia,Bachelor’s degree,Student,5-10 years
97,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years
98,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years
99,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
100,22-24,Man,India,Master’s degree,Student,< 1 years
101,18-21,Woman,Singapore,Some college/university study without earning a bachelor’s degree,Student,< 1 years
102,25-29,Man,India,Master’s degree,Software Engineer,1-3 years
103,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years
104,25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,1-3 years
105,40-44,Woman,United States of America,Master’s degree,Other,5-10 years
106,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years
107,30-34,Man,India,Master’s degree,Data Analyst,1-3 years
108,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years
109,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years
110,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years
111,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years
112,22-24,Woman,Sweden,Master’s degree,Student,< 1 years
113,45-49,Man,Poland,Master’s degree,Other,1-3 years
114,30-34,Woman,Canada,I prefer not to answer,Currently not employed,< 1 years
115,18-21,Man,Other,Bachelor’s degree,Other,1-3 years
116,60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 years
117,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years
118,40-44,Man,Indonesia,Master’s degree,Currently not employed,20+ years
119,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
120,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years
121,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years
122,70+,Man,United States of America,Master’s degree,Other,3-5 years
123,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years
124,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years
125,60-69,Man,India,Master’s degree,Other,1-3 years
126,25-29,Man,Egypt,Bachelor’s degree,Student,1-3 years
127,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years
128,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years
129,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
130,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years
131,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years
132,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years
133,25-29,Man,Netherlands,Master’s degree,Currently not employed,5-10 years
134,35-39,Man,Ukraine,Doctoral degree,Currently not employed,< 1 years
135,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years
136,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years
137,18-21,Woman,Turkey,Master’s degree,Student,1-3 years
138,18-21,Man,India,Bachelor’s degree,Student,1-3 years
139,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years
140,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years
141,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,3-5 years
142,25-29,Man,India,Master’s degree,Data Scientist,< 1 years
143,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years
144,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,< 1 years
145,35-39,Man,South Africa,Master’s degree,Data Engineer,10-20 years
146,18-21,Man,India,Bachelor’s degree,Student,< 1 years
147,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,10-20 years
148,22-24,Man,United States of America,Master’s degree,Student,5-10 years
149,30-34,Woman,Russia,Bachelor’s degree,Student,< 1 years
150,25-29,Man,Other,Bachelor’s degree,Student,< 1 years
151,70+,Woman,United States of America,Master’s degree,Data Analyst,20+ years
152,22-24,Woman,India,I prefer not to answer,Student,5-10 years
153,18-21,Man,Romania,Bachelor’s degree,Student,3-5 years
154,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years
155,18-21,Woman,Egypt,Bachelor’s degree,Student,< 1 years
156,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years
157,22-24,Woman,India,Bachelor’s degree,Student,3-5 years
158,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years
159,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years
160,22-24,Woman,India,Master’s degree,Student,3-5 years
161,50-54,Man,Other,Master’s degree,Data Scientist,20+ years
162,60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ years
163,30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
164,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years
165,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years
166,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 years
167,22-24,Man,United States of America,Bachelor’s degree,Currently not employed,1-3 years
168,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years
169,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-3 years
170,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years
171,60-69,Man,United States of America,Master’s degree,Product Manager,20+ years
172,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years
173,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years
174,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years
175,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years
176,40-44,Woman,Bangladesh,Master’s degree,Currently not employed,5-10 years
177,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years
178,35-39,Man,Japan,Bachelor’s degree,Other,10-20 years
179,22-24,Woman,Taiwan,Master’s degree,Currently not employed,1-3 years
180,25-29,Man,India,Master’s degree,Currently not employed,1-3 years
181,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years
182,18-21,Man,India,Bachelor’s degree,Student,1-3 years
183,22-24,Woman,Tunisia,Master’s degree,Student,< 1 years
184,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years
185,30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years
186,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years
187,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years
188,60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 years
189,30-34,Man,India,Bachelor’s degree,Other,5-10 years
190,30-34,Man,United States of America,Master’s degree,Business Analyst,I have never written code
191,40-44,Man,Japan,Bachelor’s degree,Business Analyst,I have never written code
192,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years
193,18-21,Man,India,Bachelor’s degree,Student,1-3 years
194,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years
195,40-44,Man,Australia,Master’s degree,Software Engineer,20+ years
196,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist,1-3 years
197,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years
198,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years
199,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years
200,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years
201,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years
202,30-34,Man,India,Master’s degree,Data Scientist,10-20 years
203,22-24,Man,India,Bachelor’s degree,Student,1-3 years
204,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 years
205,22-24,Man,India,Master’s degree,Software Engineer,5-10 years
206,30-34,Man,United States of America,Master’s degree,Data Scientist,1-3 years
207,18-21,Man,Belarus,No formal education past high school,Student,< 1 years
208,22-24,Man,France,Master’s degree,Data Scientist,3-5 years
209,18-21,Man,India,Bachelor’s degree,Student,1-3 years
210,45-49,Man,South Africa,Bachelor’s degree,Currently not employed,3-5 years
211,35-39,Man,Egypt,Master’s degree,Student,10-20 years
212,30-34,Nonbinary,Mexico,Doctoral degree,Student,5-10 years
213,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,20+ years
214,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
215,18-21,Man,India,Bachelor’s degree,Student,1-3 years
216,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years
217,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years
218,18-21,Prefer not to say,India,Bachelor’s degree,Student,1-3 years
219,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years
220,18-21,Woman,India,Master’s degree,Student,1-3 years
221,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years
222,60-69,Man,United States of America,Master’s degree,Student,10-20 years
223,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years
224,70+,Man,Australia,Master’s degree,Other,20+ years
225,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years
226,45-49,Man,Portugal,No formal education past high school,Other,< 1 years
227,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years
228,25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,5-10 years
229,25-29,Man,Japan,No formal education past high school,Machine Learning Engineer,5-10 years
230,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years
231,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years
232,22-24,Man,China,Master’s degree,Data Scientist,1-3 years
233,55-59,Woman,Israel,Master’s degree,Currently not employed,5-10 years
234,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years
235,50-54,Man,Austria,No formal education past high school,Software Engineer,20+ years
236,22-24,Man,India,Bachelor’s degree,Student,< 1 years
237,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
238,45-49,Man,Sweden,Master’s degree,Software Engineer,20+ years
239,25-29,Man,United States of America,Bachelor’s degree,Student,1-3 years
240,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years
241,30-34,Man,United States of America,Master’s degree,Student,1-3 years
242,30-34,Woman,India,Master’s degree,Currently not employed,< 1 years
243,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
244,18-21,Man,Mexico,Bachelor’s degree,Student,1-3 years
245,35-39,Man,France,Master’s degree,Data Scientist,< 1 years
246,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
247,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years
248,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years
249,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years
250,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years
251,30-34,Woman,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
252,22-24,Man,United States of America,Master’s degree,Other,3-5 years
253,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years
254,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years
255,40-44,Man,United States of America,Master’s degree,Software Engineer,10-20 years
256,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
257,22-24,Man,India,Master’s degree,Student,1-3 years
258,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years
259,60-69,Man,United States of America,Master’s degree,Software Engineer,20+ years
260,50-54,Man,United States of America,Master’s degree,Currently not employed,20+ years
261,35-39,Man,Indonesia,No formal education past high school,Data Scientist,I have never written code
262,30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 years
263,30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years
264,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years
265,35-39,Man,Australia,Master’s degree,Currently not employed,5-10 years
266,35-39,Woman,Other,Master’s degree,Data Analyst,10-20 years
267,45-49,Prefer not to say,Brazil,Bachelor’s degree,Research Scientist,10-20 years
268,18-21,Man,India,Master’s degree,Student,1-3 years
269,22-24,Man,Other,Bachelor’s degree,Currently not employed,5-10 years
270,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years
271,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years
272,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,1-3 years
273,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
274,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years
275,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 years
276,22-24,Man,South Korea,Bachelor’s degree,Other,1-3 years
277,22-24,Man,India,Master’s degree,Currently not employed,3-5 years
278,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years
279,25-29,Woman,Philippines,Bachelor’s degree,Currently not employed,< 1 years
280,22-24,Man,India,Master’s degree,Student,< 1 years
281,35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 years
282,18-21,Woman,India,Master’s degree,Student,< 1 years
283,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years
284,50-54,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years
285,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years
286,45-49,Woman,Singapore,Master’s degree,Research Scientist,10-20 years
287,22-24,Man,United States of America,Master’s degree,Student,3-5 years
288,35-39,Woman,United States of America,Master’s degree,Data Scientist,10-20 years
289,25-29,Man,India,Master’s degree,Student,3-5 years
290,35-39,Man,Russia,Bachelor’s degree,Other,< 1 years
291,22-24,Woman,India,Master’s degree,Research Scientist,I have never written code
292,18-21,Woman,Indonesia,Bachelor’s degree,Student,1-3 years
293,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years
294,18-21,Man,India,Bachelor’s degree,Student,1-3 years
295,22-24,Man,China,Doctoral degree,Program/Project Manager,1-3 years
296,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years
297,30-34,Woman,United States of America,Master’s degree,Data Engineer,I have never written code
298,50-54,Man,Russia,No formal education past high school,Currently not employed,1-3 years
299,40-44,Man,Mexico,Master’s degree,Business Analyst,20+ years
300,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Developer Relations/Advocacy,10-20 years
301,30-34,Woman,India,Master’s degree,Research Scientist,3-5 years
302,25-29,Prefer not to say,Germany,Doctoral degree,Research Scientist,3-5 years
303,22-24,Woman,Nigeria,Master’s degree,Student,1-3 years
304,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years
305,25-29,Woman,Nigeria,Bachelor’s degree,Student,< 1 years
306,45-49,Man,India,Master’s degree,Statistician,20+ years
307,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,10-20 years
308,30-34,Nonbinary,Kenya,Bachelor’s degree,Machine Learning Engineer,5-10 years
309,25-29,Woman,Sri Lanka,Master’s degree,Student,I have never written code
310,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,3-5 years
311,60-69,Man,Chile,Master’s degree,Other,20+ years
312,22-24,Man,China,Bachelor’s degree,Data Analyst,1-3 years
313,18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer,< 1 years
314,60-69,Man,United States of America,Bachelor’s degree,Software Engineer,10-20 years
315,25-29,Man,India,Master’s degree,Data Scientist,3-5 years
316,40-44,Man,Other,Doctoral degree,Student,5-10 years
317,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years
318,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,1-3 years
319,18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Student,1-3 years
320,25-29,Woman,India,Master’s degree,Currently not employed,1-3 years
321,18-21,Man,India,Bachelor’s degree,Student,1-3 years
322,25-29,Man,India,Master’s degree,Data Engineer,1-3 years
323,40-44,Man,Japan,Master’s degree,Other,10-20 years
324,35-39,Man,India,Bachelor’s degree,Currently not employed,5-10 years
325,40-44,Man,Japan,Bachelor’s degree,Data Scientist,< 1 years
326,25-29,Man,France,Master’s degree,Data Scientist,1-3 years
327,30-34,Woman,United Arab Emirates,Master’s degree,Currently not employed,1-3 years
328,35-39,Man,Nigeria,Master’s degree,Software Engineer,1-3 years
329,22-24,Man,India,Bachelor’s degree,Other,1-3 years
330,35-39,Man,Sweden,Doctoral degree,Research Scientist,5-10 years
331,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
332,25-29,Woman,United States of America,Master’s degree,Student,< 1 years
333,40-44,Man,France,Doctoral degree,Data Scientist,10-20 years
334,22-24,Man,Uganda,Bachelor’s degree,Currently not employed,< 1 years
335,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years
336,35-39,Man,South Africa,Master’s degree,Data Scientist,5-10 years
337,45-49,Man,Russia,Master’s degree,Product Manager,3-5 years
338,35-39,Man,Spain,Doctoral degree,Research Scientist,5-10 years
339,25-29,Man,Sri Lanka,Master’s degree,Data Scientist,5-10 years
340,40-44,Man,Saudi Arabia,Master’s degree,Other,3-5 years
341,25-29,Woman,Italy,Master’s degree,Data Analyst,1-3 years
342,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years
343,70+,Man,United States of America,Master’s degree,Currently not employed,20+ years
344,50-54,Man,Portugal,Doctoral degree,Research Scientist,10-20 years
345,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years
346,30-34,Man,India,Master’s degree,Data Scientist,< 1 years
347,55-59,Man,Netherlands,Doctoral degree,Data Scientist,20+ years
348,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 years
349,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
350,18-21,Man,Ireland,Some college/university study without earning a bachelor’s degree,Currently not employed,3-5 years
351,18-21,Man,India,Bachelor’s degree,Student,1-3 years
352,25-29,Man,India,Master’s degree,Data Scientist,3-5 years
353,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 years
354,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years
355,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years
356,30-34,Man,Ghana,Master’s degree,Software Engineer,5-10 years
357,40-44,Man,India,Master’s degree,Data Engineer,5-10 years
358,35-39,Man,India,Doctoral degree,Software Engineer,1-3 years
359,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years
360,22-24,Man,Egypt,Master’s degree,Data Scientist,< 1 years
361,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,I have never written code
362,22-24,Man,Poland,Master’s degree,Business Analyst,< 1 years
363,55-59,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed,1-3 years
364,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,5-10 years
365,18-21,Man,Viet Nam,Bachelor’s degree,Student,1-3 years
366,25-29,Woman,Egypt,Bachelor’s degree,Other,< 1 years
367,18-21,Woman,Other,Master’s degree,Student,1-3 years
368,25-29,Man,India,Bachelor’s degree,Other,I have never written code
369,25-29,Man,Canada,Bachelor’s degree,Other,< 1 years
370,35-39,Man,Kenya,Bachelor’s degree,Currently not employed,< 1 years
371,18-21,Man,India,Bachelor’s degree,DBA/Database Engineer,1-3 years
372,25-29,Man,Mexico,Master’s degree,Data Scientist,3-5 years
373,50-54,Man,South Korea,Master’s degree,Program/Project Manager,20+ years
374,35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer,5-10 years
375,45-49,Man,France,Master’s degree,Currently not employed,5-10 years
376,25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 years
377,60-69,Man,India,Master’s degree,Software Engineer,10-20 years
378,25-29,Man,Taiwan,Master’s degree,Currently not employed,1-3 years
379,60-69,Man,India,Bachelor’s degree,Program/Project Manager,5-10 years
380,22-24,Man,Nigeria,Bachelor’s degree,Data Engineer,1-3 years
381,25-29,Man,Malaysia,Doctoral degree,Data Scientist,1-3 years
382,22-24,Man,Taiwan,Master’s degree,Student,3-5 years
383,25-29,Woman,Thailand,Bachelor’s degree,Other,I have never written code
384,18-21,Woman,Colombia,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
385,35-39,Man,Other,Bachelor’s degree,Student,< 1 years
386,18-21,Man,India,Bachelor’s degree,Student,1-3 years
387,45-49,Man,Japan,Master’s degree,Other,10-20 years
388,25-29,Woman,Spain,Master’s degree,Software Engineer,1-3 years
389,18-21,Prefer not to say,India,Bachelor’s degree,Student,1-3 years
390,40-44,Man,Australia,Master’s degree,Data Engineer,10-20 years
391,25-29,Man,Germany,Master’s degree,Student,3-5 years
392,50-54,Man,Israel,Master’s degree,Product Manager,20+ years
393,25-29,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years
394,35-39,Man,United States of America,Master’s degree,Data Scientist,10-20 years
395,50-54,Woman,United States of America,Professional doctorate,Data Scientist,1-3 years
396,18-21,Man,Indonesia,Master’s degree,Research Scientist,< 1 years
397,50-54,Man,Spain,Bachelor’s degree,Data Analyst,1-3 years
398,50-54,Man,United States of America,Bachelor’s degree,Product Manager,20+ years
399,18-21,Man,Singapore,Some college/university study without earning a bachelor’s degree,Student,< 1 years
